emotion_code,emotion,intensity,statement,repetition,actor,sex,path,stress,MFCC_Mean,MFCC_Variance,Pitch_Mean,Speech_Rate
1,neutral,1,1,1,1,M,dataset/Audios/Actor_01/03-01-01-01-01-01-01.wav,Healthy,-33.232337951660156,17893.92578125,113.17157322849611,4.36046511627907
1,neutral,1,1,2,1,M,dataset/Audios/Actor_01/03-01-01-01-01-02-01.wav,Healthy,-33.08914566040039,17205.283203125,122.70366064862014,4.36046511627907
1,neutral,1,2,1,1,M,dataset/Audios/Actor_01/03-01-01-01-02-01-01.wav,Healthy,-32.01993179321289,16852.22265625,108.68691707750624,4.464285714285714
1,neutral,1,2,2,1,M,dataset/Audios/Actor_01/03-01-01-01-02-02-01.wav,Healthy,-31.796079635620117,16728.70703125,115.81683335824412,4.6875
2,calm,1,1,1,1,M,dataset/Audios/Actor_01/03-01-02-01-01-01-01.wav,Healthy,-35.38637924194336,21143.8984375,115.81683335824412,3.6764705882352944
2,calm,1,1,2,1,M,dataset/Audios/Actor_01/03-01-02-01-01-02-01.wav,Healthy,-34.46889114379883,21818.5234375,104.37997464223892,3.409090909090909
2,calm,1,2,1,1,M,dataset/Audios/Actor_01/03-01-02-01-02-01-01.wav,Healthy,-32.66257858276367,18830.64453125,107.43854136004752,3.605769230769231
2,calm,1,2,2,1,M,dataset/Audios/Actor_01/03-01-02-01-02-02-01.wav,Healthy,-31.91721534729004,18594.25390625,107.43854136004752,3.75
2,calm,2,1,1,1,M,dataset/Audios/Actor_01/03-01-02-02-01-01-01.wav,Healthy,-34.34474182128906,22475.931640625,98.23785555951164,3.232758620689655
2,calm,2,1,2,1,M,dataset/Audios/Actor_01/03-01-02-02-01-02-01.wav,Healthy,-35.79436111450195,21487.240234375,105.28872660515805,2.7573529411764706
2,calm,2,2,1,1,M,dataset/Audios/Actor_01/03-01-02-02-02-01-01.wav,Healthy,-35.010406494140625,20959.900390625,114.4865635674993,2.533783783783784
2,calm,2,2,2,1,M,dataset/Audios/Actor_01/03-01-02-02-02-02-01.wav,Healthy,-33.63391876220703,19323.775390625,110.58673092361124,2.9296875
3,happy,1,1,1,1,M,dataset/Audios/Actor_01/03-01-03-01-01-01-01.wav,Healthy,-31.91532325744629,14725.19140625,151.9410423129619,3.75
3,happy,1,1,2,1,M,dataset/Audios/Actor_01/03-01-03-01-01-02-01.wav,Healthy,-32.16648864746094,16882.541015625,138.52806521170294,3.3482142857142856
3,happy,1,2,1,1,M,dataset/Audios/Actor_01/03-01-03-01-02-01-01.wav,Healthy,-31.515913009643555,15396.3017578125,137.7302022667084,3.826530612244898
3,happy,1,2,2,1,M,dataset/Audios/Actor_01/03-01-03-01-02-02-01.wav,Healthy,-32.655452728271484,15127.8447265625,124.12940850835416,3.3482142857142856
3,happy,2,1,1,1,M,dataset/Audios/Actor_01/03-01-03-02-01-01-01.wav,Healthy,-34.241485595703125,11297.2431640625,235.68255189130872,3.537735849056604
3,happy,2,1,2,1,M,dataset/Audios/Actor_01/03-01-03-02-01-02-01.wav,Healthy,-33.451622009277344,12704.4228515625,201.6488190383855,3.1779661016949152
3,happy,2,2,1,1,M,dataset/Audios/Actor_01/03-01-03-02-02-01-01.wav,Healthy,-31.34206199645996,8807.20703125,181.73609144327253,3.024193548387097
3,happy,2,2,2,1,M,dataset/Audios/Actor_01/03-01-03-02-02-02-01.wav,Healthy,-32.617740631103516,9749.552734375,176.56241769755178,2.9761904761904763
4,sad,1,1,1,1,M,dataset/Audios/Actor_01/03-01-04-01-01-01-01.wav,Mild_Stress,-35.35377883911133,19070.8125,128.13675022837958,3.232758620689655
4,sad,1,1,2,1,M,dataset/Audios/Actor_01/03-01-04-01-01-02-01.wav,Mild_Stress,-34.67910385131836,19387.640625,111.87168684176292,3.605769230769231
4,sad,1,2,1,1,M,dataset/Audios/Actor_01/03-01-04-01-02-01-01.wav,Mild_Stress,-35.219024658203125,20594.69140625,109.9497982220883,3.90625
4,sad,1,2,2,1,M,dataset/Audios/Actor_01/03-01-04-01-02-02-01.wav,Mild_Stress,-33.75581741333008,18929.6953125,113.82716948276509,4.076086956521739
4,sad,2,1,1,1,M,dataset/Audios/Actor_01/03-01-04-02-01-01-01.wav,Mild_Stress,-34.151737213134766,18412.525390625,125.57172276022992,3.1779661016949152
4,sad,2,1,2,1,M,dataset/Audios/Actor_01/03-01-04-02-01-02-01.wav,Mild_Stress,-34.50738525390625,14513.103515625,136.14823596668148,3.4722222222222223
4,sad,2,2,1,1,M,dataset/Audios/Actor_01/03-01-04-02-02-01-01.wav,Mild_Stress,-33.92399978637695,14276.2470703125,138.52806521170294,3.3482142857142856
4,sad,2,2,2,1,M,dataset/Audios/Actor_01/03-01-04-02-02-02-01.wav,Mild_Stress,-32.04715347290039,11943.310546875,140.9494931391844,3.3482142857142856
5,angry,1,1,1,1,M,dataset/Audios/Actor_01/03-01-05-01-01-01-01.wav,Moderate_Stress,-27.336410522460938,10237.9619140625,154.1517185669415,3.125
5,angry,1,1,2,1,M,dataset/Audios/Actor_01/03-01-05-01-01-02-01.wav,Moderate_Stress,-30.370304107666016,9399.0458984375,185.98397121658357,2.9296875
5,angry,1,2,1,1,M,dataset/Audios/Actor_01/03-01-05-01-02-01-01.wav,Moderate_Stress,-29.361061096191406,10690.5224609375,149.37064704854382,3.826530612244898
5,angry,1,2,2,1,M,dataset/Audios/Actor_01/03-01-05-01-02-02-01.wav,Moderate_Stress,-28.729143142700195,9373.9921875,148.4707041104003,3.3482142857142856
5,angry,2,1,1,1,M,dataset/Audios/Actor_01/03-01-05-02-01-01-01.wav,Moderate_Stress,-25.92587661743164,2865.8701171875,323.816901813294,2.8846153846153846
5,angry,2,1,2,1,M,dataset/Audios/Actor_01/03-01-05-02-01-02-01.wav,Moderate_Stress,-30.547386169433594,6750.3349609375,276.25826747841137,1.875
5,angry,2,2,1,1,M,dataset/Audios/Actor_01/03-01-05-02-02-01-01.wav,Moderate_Stress,-24.76358985900879,4625.58837890625,257.013645291753,2.840909090909091
5,angry,2,2,2,1,M,dataset/Audios/Actor_01/03-01-05-02-02-02-01.wav,Moderate_Stress,-23.292667388916016,1975.53857421875,326.63611350747016,2.5
6,fearful,1,1,1,1,M,dataset/Audios/Actor_01/03-01-06-01-01-01-01.wav,Moderate_Stress,-29.319093704223633,12321.87109375,145.07962854192905,3.4722222222222223
6,fearful,1,1,2,1,M,dataset/Audios/Actor_01/03-01-06-01-01-02-01.wav,Moderate_Stress,-34.49684143066406,13093.919921875,158.21045677717683,3.409090909090909
6,fearful,1,2,1,1,M,dataset/Audios/Actor_01/03-01-06-01-02-01-01.wav,Moderate_Stress,-41.22836685180664,30866.7109375,108.0609264985624,1.762211575527287
6,fearful,1,2,2,1,M,dataset/Audios/Actor_01/03-01-06-01-02-02-01.wav,Moderate_Stress,-31.19269561767578,15515.6318359375,127.3987368536673,3.0737704918032787
6,fearful,2,1,1,1,M,dataset/Audios/Actor_01/03-01-06-02-01-01-01.wav,Moderate_Stress,-28.017236709594727,9533.3369140625,219.8995964441766,2.0833333333333335
6,fearful,2,1,2,1,M,dataset/Audios/Actor_01/03-01-06-02-01-02-01.wav,Moderate_Stress,-29.965389251708984,6433.30419921875,273.0851706408102,2.604166666666667
6,fearful,2,2,1,1,M,dataset/Audios/Actor_01/03-01-06-02-02-01-01.wav,Moderate_Stress,-29.501388549804688,3656.36767578125,267.61858152730787,3.289473684210526
6,fearful,2,2,2,1,M,dataset/Audios/Actor_01/03-01-06-02-02-02-01.wav,Moderate_Stress,-29.136459350585938,5223.88427734375,255.5333556217653,3.289473684210526
7,disgust,1,1,1,1,M,dataset/Audios/Actor_01/03-01-07-01-01-01-01.wav,Severe_Stress,-37.93587493896485,18995.287109375,136.14823596668148,2.9296875
7,disgust,1,1,2,1,M,dataset/Audios/Actor_01/03-01-07-01-01-02-01.wav,Severe_Stress,-36.39702606201172,16995.349609375,163.7897364863335,2.9761904761904763
7,disgust,1,2,1,1,M,dataset/Audios/Actor_01/03-01-07-01-02-01-01.wav,Severe_Stress,-34.73550796508789,18905.93359375,118.86722456458772,2.9761904761904763
7,disgust,1,2,2,1,M,dataset/Audios/Actor_01/03-01-07-01-02-02-01.wav,Severe_Stress,-34.78879928588867,17495.08984375,131.51052723924994,3.125
7,disgust,2,1,1,1,M,dataset/Audios/Actor_01/03-01-07-02-01-01-01.wav,Severe_Stress,-35.54617691040039,10835.291015625,249.6969657132611,2.568493150684932
7,disgust,2,1,2,1,M,dataset/Audios/Actor_01/03-01-07-02-01-02-01.wav,Severe_Stress,-35.62002944946289,8931.263671875,228.9731271349986,2.8846153846153846
7,disgust,2,2,1,1,M,dataset/Audios/Actor_01/03-01-07-02-02-01-01.wav,Severe_Stress,-35.63177490234375,12502.8193359375,216.76953911824103,2.4671052631578947
7,disgust,2,2,2,1,M,dataset/Audios/Actor_01/03-01-07-02-02-02-01.wav,Severe_Stress,-33.88834762573242,10169.673828125,220.53652914569955,2.533783783783784
8,surprised,1,1,1,1,M,dataset/Audios/Actor_01/03-01-08-01-01-01-01.wav,Mild_Stress,-33.742820739746094,16298.275390625,139.33055012971812,4.076086956521739
8,surprised,1,1,2,1,M,dataset/Audios/Actor_01/03-01-08-01-01-02-01.wav,Mild_Stress,-32.608951568603516,16291.1552734375,129.25341132293823,4.464285714285714
8,surprised,1,2,1,1,M,dataset/Audios/Actor_01/03-01-08-01-02-01-01.wav,Mild_Stress,-32.490577697753906,16328.994140625,131.91784759783013,3.75
8,surprised,1,2,2,1,M,dataset/Audios/Actor_01/03-01-08-01-02-02-01.wav,Mild_Stress,-33.963462829589844,14660.0244140625,145.9200662802185,4.261363636363637
8,surprised,2,1,1,1,M,dataset/Audios/Actor_01/03-01-08-02-01-01-01.wav,Mild_Stress,-30.303112030029297,10063.5771484375,225.0395058615972,4.076086956521739
8,surprised,2,1,2,1,M,dataset/Audios/Actor_01/03-01-08-02-01-02-01.wav,Mild_Stress,-29.904909133911133,9159.7080078125,227.65433896553017,3.6764705882352944
8,surprised,2,2,1,1,M,dataset/Audios/Actor_01/03-01-08-02-02-01-01.wav,Mild_Stress,-31.204883575439453,10230.5849609375,151.9410423129619,3.75
8,surprised,2,2,2,1,M,dataset/Audios/Actor_01/03-01-08-02-02-02-01.wav,Mild_Stress,-31.110509872436523,8663.3095703125,214.87708272009507,4.464285714285714
1,neutral,1,1,1,2,F,dataset/Audios/Actor_02/03-01-01-01-01-01-02.wav,Healthy,-37.56618118286133,15189.736328125,218.63306796596575,3.537735849056604
1,neutral,1,1,2,2,F,dataset/Audios/Actor_02/03-01-01-01-01-02-02.wav,Healthy,-37.930057525634766,15518.5,213.643045820719,3.537735849056604
1,neutral,1,2,1,2,F,dataset/Audios/Actor_02/03-01-01-01-02-01-02.wav,Healthy,-37.02482223510742,13675.48828125,219.8995964441766,3.3482142857142856
1,neutral,1,2,2,2,F,dataset/Audios/Actor_02/03-01-01-01-02-02-02.wav,Healthy,-39.59645462036133,14057.5263671875,228.97694696607192,3.605769230769231
2,calm,1,1,1,2,F,dataset/Audios/Actor_02/03-01-02-01-01-01-02.wav,Healthy,-38.53723907470703,17951.970703125,237.0478470251364,3.0737704918032787
2,calm,1,1,2,2,F,dataset/Audios/Actor_02/03-01-02-01-01-02-02.wav,Healthy,-39.603370666503906,17900.564453125,228.9731271349986,2.8846153846153846
2,calm,1,2,1,2,F,dataset/Audios/Actor_02/03-01-02-01-02-01-02.wav,Healthy,-41.332420349121094,16568.234375,221.1771515608266,3.1779661016949152
2,calm,1,2,2,2,F,dataset/Audios/Actor_02/03-01-02-01-02-02-02.wav,Healthy,-42.53533935546875,16586.7109375,221.81408426234952,2.9296875
2,calm,2,1,1,2,F,dataset/Audios/Actor_02/03-01-02-02-01-01-02.wav,Healthy,-41.31128692626953,18815.52734375,206.36213675586595,2.7173913043478257
2,calm,2,1,2,2,F,dataset/Audios/Actor_02/03-01-02-02-01-02-02.wav,Healthy,-40.522674560546875,17828.1796875,207.5610430201719,2.840909090909091
2,calm,2,2,1,2,F,dataset/Audios/Actor_02/03-01-02-02-02-01-02.wav,Healthy,-44.45137023925781,18227.056640625,226.9987427112612,2.7573529411764706
2,calm,2,2,2,2,F,dataset/Audios/Actor_02/03-01-02-02-02-02-02.wav,Healthy,-41.89604187011719,17450.794921875,211.1856230526212,2.7173913043478257
3,happy,1,1,1,2,F,dataset/Audios/Actor_02/03-01-03-01-01-01-02.wav,Healthy,-36.10530853271485,11386.8671875,246.1263480756028,3.6764705882352944
